term,coef,std_err,wald_z,wald_p,ci_low,ci_high,variable,exp_coef
Intercept,-40.29806386970655,0.01263158909293503,-3190.2608272973075,0.0,-40.32282132939621,-40.27330641001689,DC_Voltage,3.153357644966719e-18
C(Environment)[T.Traf.],6.042751931765028e-14,0.01786376460955327,3.382686720207596e-12,0.999999999997301,-0.0350123352629652,0.03501233526308606,DC_Voltage,1.0000000000000604
C(Environment)[T.Comm.],-8.841778987861572e-14,0.01786376460955199,-4.949560846280832e-12,0.9999999999960508,-0.03501233526311154,0.03501233526293471,DC_Voltage,0.9999999999999116
C(SPL_dB)[T.70],5.328876689548125e-14,0.017863764609553197,2.9830647716318118e-12,0.9999999999976199,-0.0350123352629722,0.03501233526307878,DC_Voltage,1.0000000000000533
C(SPL_dB)[T.80],33.90113421449046,0.16156908730875322,209.82438397826996,0.0,33.584464622350296,34.21780380663063,DC_Voltage,528537151289208.94
C(SPL_dB)[T.90],37.12797820900781,0.13765535615461685,269.7169165528512,0.0,36.85817866866572,37.39777774934989,DC_Voltage,1.3319136212487638e+16
C(SPL_dB)[T.100],40.38729500343446,0.11714435089168895,344.76519521437564,0.0,40.157696294694425,40.616893712174495,DC_Voltage,3.4672037124568954e+17
C(Environment)[T.Traf.]:C(SPL_dB)[T.70],1.811947764006957e-13,0.02526317818587258,7.172287471812301e-12,0.9999999999942774,-0.049514919379146996,0.04951491937950939,DC_Voltage,1.0000000000001812
C(Environment)[T.Comm.]:C(SPL_dB)[T.70],7.994401617637051e-14,0.025263178185869962,3.164448098659427e-12,0.9999999999974751,-0.04951491937924312,0.049514919379403007,DC_Voltage,1.00000000000008
C(Environment)[T.Traf.]:C(SPL_dB)[T.80],-0.5108256237660369,0.2314495892095827,-2.2070707729944297,0.027309115298631826,-0.9644584828534093,-0.05719276467866452,DC_Voltage,0.5999999999999722
C(Environment)[T.Comm.]:C(SPL_dB)[T.80],-0.22314355131409658,0.22977074204729367,-0.9711573776793869,0.33146991492126676,-0.6734859304278352,0.22719882779964207,DC_Voltage,0.8000000000000905
