Table 5
Descriptive Statistics by Condition
================================================================================================================================================
Setup       Environment  SPL_dB  variable    n  zero_yield_ratio  median    mad       iqr       min       max       ci_low    ci_high   cv      
Standalone  Ind.         80      DC_Power    3  0.000             1e-08     0.000     4e-08     1e-08     9e-08     1e-08     9e-08     1.260   
Standalone  Ind.         90      DC_Power    3  0.000             2.21e-05  2.91e-06  8.29e-06  8.41e-06  2.5e-05   8.41e-06  2.5e-05   0.479   
Standalone  Ind.         100     DC_Power    3  0.000             0.012     0.000736  0.000905  0.011     0.013     0.011     0.013     0.076   
Standalone  Traf.        60      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Traf.        70      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Traf.        80      DC_Power    3  0.000             1e-08     0.000     0.000     1e-08     1e-08     1e-08     1e-08     2.03e-16
Standalone  Traf.        90      DC_Power    3  0.000             4e-08     0.000     0.000     4e-08     4e-08     4e-08     4e-08     2.03e-16
Standalone  Traf.        100     DC_Power    3  0.000             4.1e-05   0.000     1.09e-05  4.1e-05   6.27e-05  4.1e-05   6.27e-05  0.261   
Integrated  Comm.        60      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        70      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        80      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        90      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        100     DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         60      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         70      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         80      DC_Voltage  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
