variable,log_likelihood,deviance,pseudo_r2,AIC,BIC,pearson_chi2,dispersion_phi,link_function,nobs,df_model,df_resid
DC_Voltage,43.30196906730011,7.253715858463896,0.9814744917667093,-56.60393813460021,-29.504000788045417,1.2316328841213995,0.04105442947071332,log,45,14.0,30.0
DC_Current,138.21423581773954,6.899951154790835,0.9720709857094876,-246.42847163547907,-219.3285342889243,0.8932661068957454,0.029775536896524846,log,45,14.0,30.0
DC_Power,283.1458999733969,7.546018741336567,0.975974489497876,-536.2917999467938,-509.19186260023906,1.4592843032787934,0.04864281010929312,log,45,14.0,30.0
